sex,age_range,chinese_hk_resident,chinese_hk_nonpermanent,Filipino,Indonesian,British,Indian,Nepalese,Pakistani,American,Australian,Thai,Japanese,Others
male,0 - 4,135462,1179,552,187,1304,832,670,992,536,663,-,463,1983
male,5 - 9,142100,1855,649,230,994,637,623,766,595,878,108,427,1313
male,10 - 14,124336,1647,416,58,895,743,651,800,558,513,59,283,1332
male,15 - 19,166869,3037,600,40,981,754,697,812,758,335,29,129,1466
male,20 - 24,207841,4813,566,153,1164,550,1208,749,361,474,137,96,2151
male,25 - 29,209858,6932,1035,129,1636,1229,831,820,772,568,98,179,3668
male,30 - 34,214279,4962,1037,264,1768,2393,1367,585,880,924,77,522,3929
male,35 - 39,208644,4688,1339,360,1970,1818,1348,1185,834,806,176,430,4385
male,40 - 44,216599,4205,1203,251,2135,1461,1489,761,526,848,228,706,4175
male,45 - 49,226479,3301,820,52,2243,1009,1190,494,557,758,214,434,2736
male,50 - 54,279431,3231,1603,116,2135,809,759,241,735,426,82,612,2553
male,55 - 59,298140,2254,504,59,1471,279,340,202,568,425,125,456,1996
male,60 - 64,238124,1580,364,192,1190,241,170,39,355,160,82,328,1301
male,65 - 69,192242,1328,235,116,841,347,86,54,253,127,29,54,791
male,70 - 74,108610,1375,138,138,546,285,170,293,112,40,2,184,291
male,75 - 79,99080,782,84,126,344,265,10,39,15,71,17,94,296
male,80 - 84,72704,658,13,85,121,95,-,16,122,20,-,26,243
male,85+,58331,384,10,-,32,27,-,12,17,41,8,-,151
female,0 - 4,126206,1122,623,167,1225,1001,758,513,348,618,51,371,1644
female,5 - 9,131331,2061,580,86,997,1046,479,767,734,619,164,373,1355
female,10 - 14,119453,1800,480,169,992,450,439,883,481,382,51,320,1027
female,15 - 19,155644,2663,661,101,768,634,578,685,651,333,38,189,1455
female,20 - 24,201261,7246,1985,7122,891,975,1076,461,565,737,89,36,2367
female,25 - 29,214749,10802,22794,24538,882,1603,1153,381,561,441,421,199,3957
female,30 - 34,240111,10628,35656,45819,1133,2435,1433,666,621,758,300,599,4086
female,35 - 39,239697,9304,38854,43552,1173,2228,1514,696,411,788,588,511,3994
female,40 - 44,267730,6875,27058,22716,1207,1226,1460,541,423,429,1096,790,3667
female,45 - 49,281812,5511,21515,8709,982,964,881,244,377,526,1438,736,3055
female,50 - 54,321407,3594,15912,2286,1004,654,552,179,306,375,1488,524,2051
female,55 - 59,301197,3421,6050,536,748,323,181,93,276,211,1509,191,1494
female,60 - 64,241959,2618,2245,347,483,223,303,99,165,145,1246,80,1240
female,65 - 69,192977,1956,744,474,391,477,147,73,109,143,911,97,701
female,70 - 74,104826,1468,339,258,90,345,67,26,103,76,394,145,506
female,75 - 79,102344,1360,119,270,96,222,42,47,15,11,162,40,423
female,80 - 84,91768,360,29,105,145,76,7,20,22,-,42,26,265
female,85+,112814,775,57,90,92,121,-,-,27,-,34,28,230
