sex,age_range,Chinese,Filipino,Indonesian,White,Indian,Nepalese,Pakistani,Thai,Japanese,Other Asian,Multiracial
male,0 - 4,134000,513,12,1870,1032,802,969,20,317,390,4898
male,5 - 9,141976,584,12,1597,845,790,872,70,312,438,3679
male,10 - 14,124984,372,47,1194,968,718,876,71,193,277,2591
male,15 - 19,169077,589,19,1113,1035,718,1098,43,117,236,2462
male,20 - 24,212950,527,177,929,691,1368,978,59,87,345,2152
male,25 - 29,217869,1041,141,2823,1490,925,890,67,167,583,1759
male,30 - 34,219654,1000,104,3524,2861,1310,614,77,533,1129,2181
male,35 - 39,213077,1266,207,4224,2282,1435,1356,213,411,1223,2289
male,40 - 44,220536,1245,204,4383,1878,1768,1029,188,670,917,1769
male,45 - 49,229325,817,74,3922,1302,1369,587,181,448,515,1747
male,50 - 54,282066,1592,87,3877,1046,1011,388,93,607,428,1538
male,55 - 59,299860,491,42,2790,426,395,224,99,431,515,1546
male,60 - 64,239266,363,133,1946,384,129,50,82,354,292,1127
male,65 - 69,192985,274,109,1249,545,103,77,18,43,245,855
male,70 - 74,109332,147,141,591,435,337,295,47,175,171,513
male,75 - 79,99471,85,201,496,302,10,47,-,94,39,478
male,80 - 84,73207,10,82,347,116,-,26,-,11,36,268
male,85+,58303,10,-,141,27,-,12,8,-,48,464
female,0 - 4,124712,630,158,1667,1316,764,575,51,275,481,4018
female,5 - 9,132242,515,28,1577,1247,487,872,122,288,147,3067
female,10 - 14,119681,435,47,1126,656,522,1163,80,237,226,2754
female,15 - 19,157607,652,89,893,996,666,798,49,148,232,2270
female,20 - 24,209449,2075,6990,841,1036,1235,609,129,56,515,1876
female,25 - 29,226284,22423,24090,2057,1923,1261,452,368,207,1401,2015
female,30 - 34,251404,35067,44696,2450,2797,1548,744,329,632,1591,2987
female,35 - 39,248470,38040,42465,2616,2777,1852,807,603,511,1628,3541
female,40 - 44,274061,26701,21758,1883,1703,1587,660,1059,831,1647,3328
female,45 - 49,287749,21406,7638,1727,1213,984,323,1477,705,1185,2343
female,50 - 54,325106,15565,1896,1485,785,561,240,1400,514,789,1991
female,55 - 59,304099,6173,473,974,562,241,93,1392,190,563,1470
female,60 - 64,244355,2154,273,805,353,313,194,849,82,455,1320
female,65 - 69,194945,732,175,485,522,147,83,581,71,330,1129
female,70 - 74,106014,379,277,266,355,67,26,241,159,227,632
female,75 - 79,103329,134,255,105,307,42,47,84,40,173,635
female,80 - 84,91783,26,58,129,105,7,20,31,11,90,605
female,85+,112974,48,141,107,144,-,-,34,49,82,689
