sex,age_range,Chinese,Filipino,Indonesian,White,Indian,Nepalese,Pakistani,Thai,Japanese,Other Asian,Multiracial
male,0 - 4,134000,513,12,1870,1032,802,969,20,317,390,4898
male,5 - 9,141976,584,12,1597,845,790,872,70,312,438,3679
male,10 - 14,124984,372,47,1194,968,718,876,71,193,277,2591
male,15 - 19,169077,589,19,1113,1035,718,1098,43,117,236,2462
male,20 - 24,212950,446,117,929,691,1368,978,59,87,345,2152
male,25 - 29,217869,518,12,2823,1436,925,890,67,167,556,1729
male,30 - 34,219654,764,83,3524,2803,1310,614,77,533,1129,2173
male,35 - 39,213077,806,116,4224,2264,1381,1356,213,411,1196,2289
male,40 - 44,220536,759,142,4383,1851,1736,1029,188,670,887,1761
male,45 - 49,229325,609,71,3922,1298,1369,587,181,448,515,1747
male,50 - 54,282066,804,57,3877,1046,1011,388,69,607,428,1538
male,55 - 59,299860,470,42,2790,423,395,224,99,431,515,1546
male,60 - 64,239266,218,103,1946,384,129,50,82,354,292,1127
male,65 - 69,192985,166,109,1249,545,103,77,18,43,245,855
male,70 - 74,109332,147,141,591,435,337,295,47,175,171,513
male,75 - 79,99471,85,201,496,302,10,47,-,94,39,478
male,80 - 84,73207,10,82,347,116,-,26,-,11,36,268
male,85+,58303,10,-,141,27,-,12,8,-,48,464
female,0 - 4,124712,630,158,1667,1316,764,575,51,275,481,4018
female,5 - 9,132242,515,28,1577,1247,487,872,122,288,147,3067
female,10 - 14,119681,435,47,1126,656,522,1163,80,237,226,2754
female,15 - 19,157607,591,12,893,992,657,798,49,148,229,2270
female,20 - 24,209424,491,1,841,851,1206,609,102,56,466,1787
female,25 - 29,226090,561,388,2057,1222,1208,452,368,207,993,1502
female,30 - 34,251180,1129,827,2450,2011,1499,744,276,632,1440,1824
female,35 - 39,248177,1367,1291,2616,1894,1782,807,431,511,1396,2223
female,40 - 44,273842,1266,1131,1883,1284,1488,660,817,831,1502,2646
female,45 - 49,287730,1575,623,1727,1020,958,323,1119,705,1010,2041
female,50 - 54,325080,1388,469,1485,668,554,240,894,514,656,1766
female,55 - 59,304094,1244,240,974,520,241,93,1138,190,551,1388
female,60 - 64,244355,627,195,805,340,313,194,771,82,418,1296
female,65 - 69,194945,278,154,485,502,147,83,563,71,330,1129
female,70 - 74,106014,352,259,266,355,67,26,226,159,227,627
female,75 - 79,103329,134,255,105,307,42,47,84,40,173,635
female,80 - 84,91783,26,58,129,105,7,20,31,11,90,605
female,85+,112974,48,141,107,144,-,-,34,49,82,689
